Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
7.65506E+17,The no. of #OlaShare rides #Bengaluru took was phenomenal! Its time we celebrate #Bengaluru's victory! #DoYourShare https://t.co/th3UZ3FEA6,Ola,Olacabs,Tue Aug 16 11:09:48 +0000 2016,18,10,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/Cp-fZ3cUAAAWzer.jpg ,0,4,0
7.65516E+17,.@Olacabs introduces one-of-its-kind 'Billboard' to track real-time carbon emission levels https://t.co/y6y78fxoSM https://t.co/IIpcBXFo5n,Ola,Olacabs,Tue Aug 16 11:51:47 +0000 2016,0,1,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,Photo,https://pbs.twimg.com/media/Cp-npHjXYAAMK0r.jpg ,1,0,1
7.65518E+17,"@sandz1312 Our app can hook you up with the nearest cabs. For everything else, you can reach us at 33553355, prefixed with your city code.",Ola,Olacabs,Tue Aug 16 11:56:28 +0000 2016,0,0,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,,0,0,1
7.6552E+17,"Congrats #Mumbai #Delhi #Bengaluru - you have done your share for cleaner air. RT if you contributed!
#DoYourShare https://t.co/YFZfqhFBtg",Ola,Olacabs,Tue Aug 16 12:05:16 +0000 2016,10,12,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/Cp-rtQgUIAgCSnX.jpg ,0,4,0
7.65544E+17,"Peeps, ride an #OlaLux before Aug 23, &amp; you could win PVR Gold class tickets! 
https://t.co/wIiSL3Xg8t @_PVRCinemas https://t.co/VSbvGe9ojo",Ola,Olacabs,Tue Aug 16 13:43:23 +0000 2016,6,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/Cp_CWxpVIAA5RBe.jpg ,1,1,1
7.65805E+17,Do it for your siblings! #HappyRakshaBandhan https://t.co/v461yt1LtD,Ola,Olacabs,Wed Aug 17 06:58:58 +0000 2016,3,2,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,1,1,0
7.66134E+17,"Whether you're in the same city or away, there're somethings abt you, only your sibling gets. #HappyRakshaBandhan https://t.co/ZMxluyi2tK",Ola,Olacabs,Thu Aug 18 04:44:01 +0000 2016,29,11,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,GIF,https://video.twimg.com/tweet_video/CqHZ0gfVMAA5GOS.mp4 ,0,1,0
7.66146E+17,"#Hyderabad Open the Ola app between 11am &amp; 3pm, Click on 'Rakhi' for a sweet surprise https://t.co/RlEFITTmeK https://t.co/bIjMDS6jEe",Ola,Olacabs,Thu Aug 18 05:35:12 +0000 2016,9,6,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/CqHlpCZVUAA81jz.jpg ,1,1,0
7.66148E+17,"So proud of #SakshiMalik, driving India's dreams &amp; hopes at #Rio2016
You are the real superstar!
THANK YOU",Ola,Olacabs,Thu Aug 18 05:39:59 +0000 2016,37,10,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,0,2,0
7.66151E+17,"@DivijaRao Well ride-sharing would definitely help in reducing the traffic in Bangalore, even during the rains. #OlaShare",Ola,Olacabs,Thu Aug 18 05:53:33 +0000 2016,0,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,1,1
7.66208E+17,#Hyderabad The deadline has been extended till 5pm. You've still got a couple of hours to be sweetly surprised! ???? https://t.co/610bkIwBWq,Ola,Olacabs,Thu Aug 18 09:41:49 +0000 2016,7,3,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,1,1,0
7.66534E+17,"@kanikagupta10 Ride-sharing would help a lot in reducing the traffic congestion, as well. #OlaShare",Ola,Olacabs,Fri Aug 19 07:16:05 +0000 2016,0,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,1,1
7.66543E+17,India is a traveler's paradise for offbeats destinations. Share one &amp; WIN! https://t.co/OltEI5DjCa #OlaOutstation https://t.co/BfjZJbKegc,Ola,Olacabs,Fri Aug 19 07:52:55 +0000 2016,30,20,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/CqNN-WWVYAAAg3V.jpg ,1,1,0
7.66558E+17,**Contest Alert** For all you avid travellers @ContestBoard @C0NTESTINDIA @Contest_Hub @thefreejinn #OlaOutstation https://t.co/NGqLibsUwY,Ola,Olacabs,Fri Aug 19 08:51:17 +0000 2016,10,7,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,1,1,3
7.66575E+17,We're committed to make the roads safer for you! Proud to be the travel partner for National Workshop on Road Safety https://t.co/oLstRH804B,Ola,Olacabs,Fri Aug 19 10:00:01 +0000 2016,6,3,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,1,0,0
7.66579E+17,@digitalera313 And support ride-sharing! A sure-shot way to reduce traffic in the city #OlaShare #BengaluruTraffic @BloreConnect,Ola,Olacabs,Fri Aug 19 10:12:49 +0000 2016,1,1,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,2,1
7.6658E+17,Today’s one day your boss won’t mind if you leave work early! Rush back to home to cheer for Sindhu! Match starts at 6:55 pm! #GoSindhu,Ola,Olacabs,Fri Aug 19 10:17:52 +0000 2016,34,13,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,0,1,0
7.66583E+17,"Leave work early, and be home in time to watch PV Sindhu serve you over! #GoSindhu https://t.co/uyndCUOlq0",Ola,Olacabs,Fri Aug 19 10:30:35 +0000 2016,23,13,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/CqNy3X9UAAAegAo.jpg ,0,1,0
7.66585E+17,"Use promo code SINDHU and get Rs 100 off on your Ola ride between 5 and 6 today. (Code applicable on mini, prime &amp; lux) #GoSindhu",Ola,Olacabs,Fri Aug 19 10:38:51 +0000 2016,32,27,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,,0,1,0
7.66597E+17,"@IamSocialninja Go for it, Abhishek! https://t.co/SnVLdA9xzh",Ola,Olacabs,Fri Aug 19 11:24:47 +0000 2016,8,1,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,GIF,https://video.twimg.com/tweet_video/CqN_rSjUkAAMg5N.mp4 ,0,0,1
7.66598E+17,@HarshBaba_jlt We always love the way photos look on #Instagram. So that's our preferred destination for #CABtured,Ola,Olacabs,Fri Aug 19 11:30:25 +0000 2016,1,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,2,1
7.666E+17,"@akankshitjha22 Better to be early than late, don't you think? #GoSindhu",Ola,Olacabs,Fri Aug 19 11:36:53 +0000 2016,0,0,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Reply,,,0,1,1
7.66606E+17,"Code is LIVE! Pack up, book your ride, and head home! 
#GoSindhu https://t.co/sNFiFIKtbd",Ola,Olacabs,Fri Aug 19 12:02:20 +0000 2016,16,5,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,Photo,https://pbs.twimg.com/media/CqOIOQLUsAA9Ig8.jpg ,0,1,0
